111theta,111intensity,200theta,200intensity,220theta,220intensity,311theta,311intensity,222theta,222intensity,400theta,400intensity
,,,,33.634,170.8,,,,,,
,,,,33.636,170.8,,,,,,
,,,,33.638,141.7,,,,,,
,,,,33.64,162.5,,,,,,
,,,,33.642,187.5,,,,,,
,,,,33.644,158.3,,,,,,
,,,,33.646,145.8,,,,,,
,,,,33.648,158.3,,,,,,
,,,,33.65,137.5,,,,,,
,,,,33.652,220.8,,,,,,
,,,,33.654,208.3,,,,,,
,,,,33.656,166.7,,,,,,
,,,,33.658,225,,,,,,
,,,,33.66,220.8,,,,,,
,,,,33.662,154.2,,,,,,
,,,,33.664,154.2,,,,,,
,,,,33.666,162.5,,,,,,
,,,,33.668,133.3,,,,,,
,,,,33.67,200,,,,,,
,,,,33.672,133.3,,,,,,
,,,,33.674,204.2,,,,,,
,,,,33.676,166.7,,,,,,
,,,,33.678,116.7,,,,,,
,,,,33.68,133.3,,,,,,
,,,,33.682,183.3,,,,,,
,,,,33.684,129.2,,,,,,
,,,,33.686,133.3,,,,,,
,,,,33.688,195.8,,,,,,
,,,,33.69,175,,,,,,
,,,,33.692,162.5,,,,,,
,,,,33.694,200,,,,,,
,,,,33.696,162.5,,,,,,
,,,,33.698,133.3,,,,,,
,,,,33.7,162.5,,,,,,
,,,,33.702,195.8,,,,,,
,,,,33.704,154.2,,,,,,
,,,,33.706,195.8,,,,,,
,,,,33.708,154.2,,,,,,
,,,,33.71,179.2,,,,,,
,,,,33.712,125,,,,,,
,,,,33.714,141.7,,,,,,
,,,,33.716,175,,,,,,
,,,,33.718,162.5,,,,,,
,,,,33.72,179.2,,,,,,
,,,,33.722,158.3,,,,,,
,,,,33.724,166.7,,,,,,
,,,,33.726,187.5,,,,,,
,,,,33.728,150,,,,,,
,,,,33.73,183.3,,,,,,
,,,,33.732,158.3,,,,,,
,,,,33.734,141.7,,,,,,
,,,,33.736,150,,,,,,
,,,,33.738,220.8,,,,,,
,,,,33.74,158.3,,,,,,
,,,,33.742,120.8,,,,,,
,,,,33.744,191.7,,,,,,
,,,,33.746,145.8,,,,,,
,,,,33.748,116.7,,,,,,
,,,,33.75,154.2,,,,,,
,,,,33.752,170.8,,,,,,
,,,,33.754,183.3,,,,,,
