111theta,111intensity,200theta,200intensity,220theta,220intensity,311theta,311intensity,222theta,222intensity,400theta,400intensity
19.09,73,22.09,81,32.09,142,37.59,112,50.59,107,52.35,335
19.1,86,22.1,96,32.1,160,37.6,103,50.6,115,52.36,298
19.11,93,22.11,95,32.11,137,37.61,112,50.61,109,52.37,276
19.12,85,22.12,91,32.12,154,37.62,99,50.62,107,52.38,264
19.13,65,22.13,85,32.13,164,37.63,99,50.63,108,52.39,257
19.14,74,22.14,82,32.14,139,37.64,101,50.64,91,52.4,254
19.15,84,22.15,74,32.15,147,37.65,106,50.65,94,52.41,218
19.16,82,22.16,90,32.16,177,37.66,106,50.66,99,52.42,177
19.17,86,22.17,95,32.17,157,37.67,111,50.67,119,52.43,168
19.18,68,22.18,80,32.18,165,37.68,117,50.68,90,52.44,161
19.19,75,22.19,78,32.19,186,37.69,103,50.69,126,52.45,138
19.2,78,22.2,86,32.2,200,37.7,103,50.7,115,52.46,147
19.21,81,22.21,88,32.21,188,37.71,103,50.71,117,52.47,129
19.22,73,22.22,104,32.22,225,37.72,109,50.72,121,52.48,145
19.23,77,22.23,108,32.23,218,37.73,99,50.73,112,52.49,128
19.24,70,22.24,88,32.24,257,37.74,90,50.74,120,52.5,125
19.25,92,22.25,95,32.25,276,37.75,87,50.75,121,52.51,130
19.26,78,22.26,82,32.26,307,37.76,109,50.76,103,52.52,138
19.27,81,22.27,93,32.27,370,37.77,92,50.77,120,52.53,133
19.28,81,22.28,86,32.28,387,37.78,74,50.78,139,52.54,120
19.29,77,22.29,83,32.29,468,37.79,97,50.79,139,52.55,113
19.3,81,22.3,86,32.3,530,37.8,102,50.8,137,52.56,150
19.31,81,22.31,89,32.31,670,37.81,108,50.81,154,52.57,157
19.32,86,22.32,86,32.32,790,37.82,103,50.82,175,52.58,153
19.33,89,22.33,89,32.33,1044,37.83,83,50.83,165,52.59,175
19.34,90,22.34,91,32.34,1248,37.84,98,50.84,210,52.6,161
19.35,86,22.35,90,32.35,1598,37.85,106,50.85,210,52.61,202
19.36,76,22.36,97,32.36,1896,37.86,103,50.86,252,52.62,186
19.37,87,22.37,100,32.37,2215,37.87,116,50.87,284,52.63,202
19.38,91,22.38,80,32.38,2334,37.88,107,50.88,309,52.64,232
19.39,85,22.39,81,32.39,2241,37.89,122,50.89,336,52.65,215
19.4,79,22.4,90,32.4,2021,37.9,111,50.9,356,52.66,208
19.41,88,22.41,82,32.41,1666,37.91,112,50.91,375,52.67,207
19.42,93,22.42,89,32.42,1288,37.92,119,50.92,351,52.68,226
19.43,90,22.43,98,32.43,972,37.93,108,50.93,307,52.69,210
19.44,100,22.44,103,32.44,774,37.94,114,50.94,297,52.7,192
19.45,107,22.45,103,32.45,641,37.95,111,50.95,267,52.71,227
19.46,110,22.46,98,32.46,531,37.96,131,50.96,237,52.72,194
19.47,91,22.47,95,32.47,480,37.97,121,50.97,229,52.73,171
19.48,89,22.48,105,32.48,465,37.98,125,50.98,203,52.74,152
19.49,102,22.49,89,32.49,487,37.99,153,50.99,166,52.75,150
19.5,113,22.5,93,32.5,445,38,138,51,153,52.76,133
19.51,115,22.51,97,32.51,482,38.01,141,51.01,149,52.77,133
19.52,114,22.52,90,32.52,556,38.02,162,51.02,152,52.78,137
19.53,129,22.53,92,32.53,625,38.03,167,51.03,135,52.79,110
19.54,118,22.54,108,32.54,758,38.04,149,51.04,143,52.8,113
19.55,141,22.55,112,32.55,946,38.05,179,51.05,138,52.81,107
19.56,144,22.56,123,32.56,1067,38.06,210,51.06,134,52.82,101
19.57,142,22.57,105,32.57,1232,38.07,245,51.07,135,52.83,106
19.58,139,22.58,107,32.58,1246,38.08,253,51.08,133,52.84,106
19.59,131,22.59,117,32.59,1234,38.09,312,51.09,131,52.85,100
19.6,136,22.6,132,32.6,1099,38.1,377,51.1,120,52.86,118
19.61,163,22.61,127,32.61,904,38.11,448,51.11,143,52.87,124
19.62,191,22.62,141,32.62,732,38.12,506,51.12,146,52.88,114
19.63,206,22.63,149,32.63,565,38.13,584,51.13,131,52.89,103
19.64,247,22.64,187,32.64,476,38.14,646,51.14,148,52.9,79
19.65,289,22.65,176,32.65,397,38.15,692,51.15,130,52.91,87
19.66,294,22.66,201,32.66,300,38.16,718,51.16,173,52.92,91
19.67,243,22.67,206,32.67,286,38.17,725,51.17,145,52.93,109
