111thetas,111intensity,200thetas,200intensity,220thetas,220intensity,311thetas,311intensity,222thetas,222intensity,400thetas,400intensity
18.67,0.2358202522436789,21.69,0.3007435864323878,31.69,5.398412197589903,37.19,1.4472385014139175,50.19,1.181120857419791,51.95,5.582075368338453
18.68,0.240666578673959,21.7,0.30659681275174405,31.7,5.558650576615866,37.2,1.4773132134727234,50.2,1.2146212943152546,51.96,5.885895766793956
18.69,0.24566381516733124,21.71,0.3126225383659344,31.71,5.726124940918736,37.21,1.5083347621005734,50.21,1.2495658141518995,51.97,6.215057675197128
18.7,0.2508182915048899,21.72,0.31882760644527064,31.72,5.901277255992312,37.22,1.5403432939122974,50.22,1.2860385240266978,51.98,6.572440805570652
18.71,0.2561366727725143,21.73,0.3252192027816861,31.73,6.0845837241187954,37.23,1.5733811050145048,50.23,1.3241297370058795,51.99,6.961342853402747
18.72,0.2616259808979804,21.74,0.3318048765746493,31.74,6.276558014109143,37.24,1.607492780529579,50.24,1.3639365291325471,52.0,7.385553885685932
18.73,0.2672936178190672,21.75,0.3385925627027969,31.75,6.477754851842715,37.25,1.6427253447952146,50.25,1.4055633555657228,52.01,7.849446506675554
18.74,0.27314739042525565,21.76,0.3455906056037831,31.76,6.688774018368665,37.26,1.679128423183231,50.26,1.4491227331256946,52.02,8.358085706391487
18.75,0.2791955374299324,21.77,0.3528077848964569,31.77,6.910264809259564,37.27,1.716754416575283,50.27,1.4947359975405294,52.03,8.917363406212575
18.76,0.2854467583456602,21.78,0.3602533428921023,31.78,7.142931016986722,37.28,1.755658689639254,50.28,1.5425341448718657,52.04,9.534164182003632
18.77,0.29191024475274713,21.79,0.3679370141555132,31.79,7.387536507540727,37.29,1.795899774167626,50.29,1.5926587679707045,52.05,10.216570596403733
18.78,0.2985957140708398,21.8,0.3758690572923332,31.8,7.644911473611783,37.3,1.8375395888694368,50.3,1.6452631004095304,52.06,10.974119187624595
18.79,0.3055134460650839,21.81,0.3840602891561848,31.81,7.915959459677256,37.31,1.8806436771546895,50.31,1.7005131821997417,52.07,11.818121694944356
18.8,0.31267432234285625,21.82,0.39252212168842976,31.82,8.201665269719593,37.32,1.9252814646129843,50.32,1.758589163777904,52.08,12.762070909521494
18.81,0.3200898691241987,21.83,0.4012666016244865,31.83,8.50310388646182,37.33,1.9715265380721216,50.33,1.8196867672940256,52.09,13.822157135445705
18.82,0.32777230359976184,21.84,0.4103064533244791,31.84,8.821450552553983,37.34,2.019456948326764,50.34,1.8840189272270131,52.1,15.017930367584679
