111thetas,111intensity,200thetas,200intensity,220thetas,220intensity,311thetas,311intensity,222thetas,222intensity
18.77,0.5244356370340595,21.79,0.6876771596051784,31.79,15.034729969404493,37.29,3.5786706896525313,50.29,3.0327297215057456
18.78,0.5364401842107197,21.8,0.7024813716489513,31.8,15.55712069168559,37.3,3.6614985454081834,50.3,3.132328411889545
18.79,0.5488614524073192,21.81,0.7177684463784708,31.81,16.107148944326934,37.31,3.7472316974194007,50.31,3.2368985376355157
18.8,0.5617189440105785,21.82,0.7335595960084257,31.82,16.68679407735691,37.32,3.836007438412319,50.32,3.3467753703170136
18.81,0.5750333151105381,21.83,0.7498772094997198,31.83,17.29821536990004,37.33,3.927971256220476,50.33,3.4623228227540204
18.82,0.5888264583303927,21.84,0.7667449317047232,31.84,17.943771962908748,37.34,4.023277427007377,50.34,3.583936424444468
18.83,0.6031215926737543,21.85,0.7841877487874894,31.85,18.62604540849785,37.35,4.122089659122332,50.35,3.712046662450944
18.84,0.6179433610768461,21.86,0.8022320804936338,31.86,19.347865234643127,37.36,4.224581792582383,50.36,3.847122739727944
18.85,0.6333179364294458,21.87,0.8209058799042118,31.87,20.11233799344813,37.37,4.330938559730878,50.37,3.9896768113014303
18.86,0.6492731369149287,21.88,0.8402387413747252,31.88,20.922880344286682,37.38,4.441356413255868,50.38,4.140268768683261
18.87,0.6658385516167461,21.89,0.8602620174353119,31.89,21.783256822895087,37.39,4.556044428459999,50.39,4.29951165471951
18.88,0.6830456774483408,21.9,0.8810089455114678,31.9,22.697623067616497,37.4,4.675225287478192,50.4,4.468077805128445
18.89,0.7009280685876503,21.91,0.90251478541885,31.91,23.67057541919934,37.41,4.799136354043533,50.41,4.646705829738979
18.9,0.719521499737322,21.92,0.9248169686905556,31.92,24.70720798659605,37.42,4.928030848432388,50.42,4.836208566489224
18.91,0.7388641446911786,21.93,0.947955260913994,31.93,25.81317848550549,37.43,5.06217913338252,50.43,5.037482165289712
18.92,0.7589967718676951,21.94,0.9719719383874388,31.94,26.994784418180252,37.44,5.201870123104515,50.44,5.2515164878022365
18.93,0.7799629586769644,21.95,0.9969119805564864,31.95,28.259051484086623,37.45,5.347412829009913,50.45,5.479407044128003
18.94,0.8018093268213999,21.96,1.0228232798604129,31.96,29.61383650640083,37.46,5.49913805749874,50.46,5.722368729742091
18.95,0.8245858008973973,21.97,1.0497568708095817,31.97,31.06794764823298,37.47,5.657400277109604,50.47,5.981751677486843
18.96,0.8483458929706558,21.98,1.077767180332528,31.98,32.63128529976565,37.48,5.822579674574107,50.48,6.259059602237487
18.97,0.8731470161469644,21.99,1.106912301676764,31.99,34.315007775121714,37.49,5.995084421889485,50.49,6.555971092773385
18.98,0.8990508305617941,22.0,1.1372542944273414,32.0,36.13172690755675,37.5,6.175353179468215,50.5,6.8743643999361845
18.99,0.9261236256724732,22.01,1.168859513524402,32.01,38.095739827905994,37.51,6.3638578638169125,50.51,7.216346386857263
19.0,0.954436743268225,22.02,1.2017989705236536,32.02,40.223304725942924,37.52,6.561106712098777,50.52,7.5842864516389
19.01,0.984067046225514,22.03,1.236148730756728,32.03,42.53297032211445,37.53,6.7676476804466965,50.53,7.980856412832066
19.02,1.0150974387452467,22.04,1.2719903505209544,32.04,45.04597124436746,37.54,6.9840722181116135,50.54,8.409077572958449
19.03,1.0476174446292719,22.05,1.309411358969898,32.05,47.786704680178346,37.55,7.211019465574865,50.55,8.872376457650471
19.04,1.081723851107374,22.06,1.3485057899966153,32.06,50.78330778527751,37.56,7.44918093178445,50.56,9.374651084044457
19.05,1.1175214268365892,22.07,1.3893747701166648,32.07,54.06836068633171,37.57,7.699305713852705,50.57,9.92035006318507
19.06,1.1551237239894987,22.08,1.4321271691799289,32.08,57.67974693659546,37.58,7.962206332105524,50.58,10.51456741556092
19.07,1.1946539758639527,22.09,1.4768803216910482,32.09,61.66171255029129,37.59,8.238765264536204,50.59,11.16315671371085
19.08,1.2362461032222465,22.1,1.5237608276159735,32.1,66.0661770553895,37.6,8.529942277818494,50.6,11.872869110716088
19.09,1.2800458446566196,22.11,1.5729054428264253,32.11,70.95436648341429,37.61,8.836782667430024,50.61,12.651521034505205
19.1,1.3262120287378432,22.12,1.6244620708127884,32.12,76.3988604288252,37.62,9.160426537575995,50.62,13.508198914079866
19.11,1.3749180086124062,22.13,1.678590869018209,32.13,82.4861754799513,37.63,9.502119273051528,50.63,14.453510374746173
19.12,1.4263532831593888,22.14,1.7354654851569098,32.14,89.32004860956535,37.64,9.863223380580756,50.64,15.499894056918675
19.13,1.4807253329135814,22.15,1.7952744412295571,32.15,97.02564104757576,37.65,10.245231907365671,50.65,16.662003796337896
19.14,1.5382617038441369,22.16,1.858222685706051,32.16,105.75496227256836,37.66,10.649783680544106,50.66,17.957187650018405
19.15,1.599212377914668,22.17,1.9245333375850715,32.17,115.6939245141285,37.67,11.07868065426568,50.67,19.406088565519127
19.16,1.663852476354671,22.18,1.9944496498597284,32.18,127.07159429416195,37.68,11.533907702643301,50.68,21.03340191670763
19.17,1.7324853499992452,22.19,2.068237224430864,32.19,140.17242900829228,37.69,12.017655258859847,50.69,22.868836399520216
19.18,1.8054461212342423,22.2,2.146186515857423,32.2,155.35260219050218,37.7,12.5323452755363,50.7,24.94833986543947
19.19,1.8831057544208776,22.21,2.2286156676898723,32.21,173.06197201922302,37.71,13.080661072098598,50.71,27.315671818797583
19.2,1.9658757466827608,22.22,2.3158737327066765,32.22,193.87389071868884,37.72,13.66558174500814,50.72,30.024431053363575
19.21,2.0542135492690337,22.23,2.40834433743282,32.23,218.5259618460857,37.73,14.290421951026444,50.73,33.140681967090394
19.22,2.1486288521803507,22.24,2.5064498621804647,32.24,247.97611121479417,37.74,14.958878038137321,50.74,36.74636795372085
19.23,2.2496908924179553,22.25,2.610656220925273,32.25,283.48000013472137,37.75,15.675081700848269,50.75,40.94375506902433
19.24,2.3580369804324373,22.26,2.721478341112026,32.26,326.69778217121427,37.76,16.44366258601988,50.76,45.86121001472477
19.25,2.474382481855764,22.27,2.839486462607073,32.27,379.8398986085355,37.77,17.269821584440614,50.77,51.660669236467974
19.26,2.599532544644785,22.28,2.9653133982669706,32.28,445.86101908404777,37.78,18.15941692807353,50.78,58.547162395846215
19.27,2.73439592829484,22.29,3.099662926975386,32.29,528.7025731927087,37.79,19.119065693865718,50.79,66.78062144529335
19.28,2.8800013756448517,22.3,3.243319524782334,32.3,633.55222301801,37.8,20.156263919114014,50.8,76.6897266914362
19.29,3.0375170740780084,22.31,3.3971596825702703,32.31,766.9952157658093,37.81,21.279529295877445,50.81,88.68625959854576
19.3,3.208273888373213,22.32,3.562165111548092,32.32,936.6941311015087,37.82,22.498571379060675,50.82,103.27541101186651
19.31,3.3937932210907418,22.33,3.739438203486352,32.33,1149.7059435835142,37.83,23.82449547591916,50.83,121.05093288587231
19.32,3.5958205803209977,22.34,3.93022019440938,32.34,1407.6598348031866,37.84,25.2700479652987,50.84,142.65092179717658
19.33,3.816366225310911,22.35,4.135912582914215,32.35,1696.588297277425,37.85,26.849912832101463,50.85,168.62698861294803
19.34,4.057754640365206,22.36,4.358102483256527,32.36,1972.9879068010687,37.86,28.58107184300723,50.86,199.14869406863332
19.35,4.322685087367897,22.37,4.5985927565112386,32.37,2161.3174264374675,37.87,30.483244232053828,50.87,233.45428590218393
19.36,4.614306150156365,22.38,4.8594379706619435,32.38,2188.5475820111856,37.88,32.57942627991663,50.88,269.0624337379823
19.37,4.936308069780191,22.39,5.142987505942234,32.39,2042.5867126244746,37.89,34.896557128899175,50.89,301.1394608518177
19.38,5.2930378631324375,22.4,5.451937463269038,32.4,1783.6931332277545,37.9,37.466345086890996,50.9,323.01546602426424
19.39,5.689643839395508,22.41,5.789393475643938,32.41,1492.3105574410197,37.91,40.3262992436069,50.91,328.7387933044899
19.4,6.1322583532426,22.42,6.158947098125642,32.42,1222.5281594944774,37.92,43.521025433174934,50.92,316.55327272494293
