200thetas,200intensity,220thetas,220intensity,311thetas,311intensity,222thetas,222intensity
21.98,1.1839423191640885e-118,31.57,5.631606382664587e-155,37.51,1.189724800250453e-74,50.51,8.258237397468469e-24
21.99,2.0390192512632082e-115,31.58,4.7214069263309513e-151,37.52,2.7146611620657714e-72,50.52,1.7011134312932518e-22
22.0,3.1734221102386755e-112,31.59,3.532588826622058e-147,37.53,5.692542940135157e-70,50.53,3.2375883157851017e-21
22.01,4.463238511200887e-109,31.6,2.358833391046128e-143,37.54,1.0970301703235398e-67,50.54,5.693147222222299e-20
22.02,5.672677363555884e-106,31.61,1.4056718919080882e-139,37.55,1.942908725525105e-65,50.55,9.24965736142984e-19
22.03,6.515410849316716e-103,31.62,7.475722505845017e-136,37.56,3.1623344297810353e-63,50.56,1.388485395607988e-17
22.04,6.762562083711705e-100,31.63,3.5481739385467974e-132,37.57,4.730257303190575e-61,50.57,1.925747873781183e-16
22.05,6.343025524319816e-97,31.64,1.50293136825282e-128,37.58,6.5025440675558025e-59,50.58,2.4677432807459283e-15
22.06,5.376471997208222e-94,31.65,5.681407155228102e-125,37.59,8.214921427988612e-57,50.59,2.921749438372952e-14
22.07,4.1182627596081066e-91,31.66,1.9167046511370113e-121,37.6,9.537731549462814e-55,50.6,3.1961591794985697e-13
22.08,2.850666765423978e-88,31.67,5.7708129456376635e-118,37.61,1.0176732190667378e-52,50.61,3.230399779136585e-12
22.09,1.7831775497088663e-85,31.68,1.5506054848351232e-114,37.62,9.979141202649314e-51,50.62,3.0166615191512353e-11
22.1,1.0079951865737794e-82,31.69,3.718331896704607e-111,37.63,8.992895784335383e-49,50.63,2.602791231987028e-10
22.11,5.14917988605317e-80,31.7,7.957515737405226e-108,37.64,7.447791737335705e-47,50.64,2.0748873685588753e-09
22.12,2.3770231169684414e-77,31.71,1.51981028116724e-104,37.65,5.668616258613734e-45,50.65,1.5282420972937465e-08
22.13,9.916181834572278e-75,31.72,2.5905010210191237e-101,37.66,3.96504538659388e-43,50.66,1.0399973451932525e-07
22.14,3.7382754081830085e-72,31.73,3.940584777425439e-98,37.67,2.548829813761461e-41,50.67,6.539051274285853e-07
22.15,1.2735436683958445e-69,31.74,5.349585101039219e-95,37.68,1.5057576722117215e-39,50.68,3.7987410949604447e-06
22.16,3.920776835230534e-67,31.75,6.481298801481855e-92,37.69,8.175059112119039e-38,50.69,2.0389524009736465e-05
22.17,1.0908025424581314e-64,31.76,7.00787755077954e-89,37.7,4.078949131673428e-36,50.7,0.00010111531050429838
22.18,2.742432170274188e-62,31.77,6.76228520482815e-86,37.71,1.8703687927993361e-34,50.71,0.0004633073525793046
22.19,6.230765168072e-60,31.78,5.8234852542261086e-83,37.72,7.88184294379178e-33,50.72,0.0019613897667837203
22.2,1.2792711544459602e-57,31.79,4.4756384327298175e-80,37.73,3.052459261414379e-31,50.73,0.007671866870418815
22.21,2.373556459157352e-55,31.8,3.0697960768308434e-77,37.74,1.0864094809388907e-29,50.74,0.02772558069061726
22.22,3.9797176507417127e-53,31.81,1.8790856533139368e-74,37.75,3.5535201969944354e-28,50.75,0.0925769106343498
22.23,6.030046917301065e-51,31.82,1.0265169965431051e-71,37.76,1.0681828477936926e-26,50.76,0.28560588837990397
22.24,8.256668656455619e-49,31.83,5.004586847788299e-69,37.77,2.950896536560764e-25,50.77,0.8140930936172986
22.25,1.0216561583191978e-46,31.84,2.1774732763041544e-66,37.78,7.491761375846986e-24,50.78,2.1439932998767453
22.26,1.1424057837349794e-44,31.85,8.45512348954274e-64,37.79,1.7479759782100711e-22,50.79,5.216932497326293
22.27,1.154387896163545e-42,31.86,2.930013315811616e-61,37.8,3.748077434248552e-21,50.8,11.72868847072466
22.28,1.0541414028430126e-40,31.87,9.061534556035616e-59,37.81,7.385896544871409e-20,50.81,24.362739683167423
22.29,8.698847418314425e-39,31.88,2.501015744200853e-56,37.82,1.3375790448355559e-18,50.82,46.756849303568494
22.3,6.486946117206767e-37,31.89,6.160466754417692e-54,37.83,2.2261645523897725e-17,50.83,82.90997662041697
22.31,4.371541476315789e-35,31.9,1.354232800571143e-51,37.84,3.4049962713451135e-16,50.84,135.83471841711835
22.32,2.6622243493576047e-33,31.91,2.6567797762015375e-49,37.85,4.786274351219997e-15,50.85,205.616149045587
22.33,1.4651106816364585e-31,31.92,4.651577944629467e-47,37.86,6.183012263582362e-14,50.86,287.5716673077334
22.34,7.286382290433343e-30,31.93,7.26821166626366e-45,37.87,7.340475569067858e-13,50.87,371.6014585098304
22.35,3.274682564215576e-28,31.94,1.01353172671097e-42,37.88,8.008844434954987e-12,50.88,443.66090881983183
22.36,1.3299710782832828e-26,31.95,1.2613326781374304e-40,37.89,8.030398348541723e-11,50.89,489.403824896922
22.37,4.881248543037439e-25,31.96,1.4008913853138244e-38,37.9,7.399900681021257e-10,50.9,498.7994823076338
22.38,1.6189572526222243e-23,31.97,1.3885508852298224e-36,37.91,6.266661887159798e-09,50.91,469.70703951806337
22.39,4.852388637550786e-22,31.98,1.2282920827155984e-34,37.92,4.8771735124696445e-08,50.92,408.66795453991233
22.4,1.3142909210917543e-20,31.99,9.696701421998935e-33,37.93,3.488363393702816e-07,50.93,328.51600987956436
22.41,3.2169415788299037e-19,32.0,6.831701960931022e-31,37.94,2.292961723241916e-06,50.94,243.9972516900916
22.42,7.115584418371499e-18,32.01,4.2955256618010167e-29,37.95,1.3851393282700033e-05,50.95,167.43867169109168
22.43,1.4223081945962347e-16,32.02,2.4103840340054284e-27,37.96,7.689740538425205e-05,50.96,106.161988737442
22.44,2.5691684749718355e-15,32.03,1.2070873089773654e-25,37.97,0.0003923299682700634,50.97,62.19060207046067
22.45,4.193794944496278e-14,32.04,5.394778817600456e-24,37.98,0.0018395553111420519,50.98,33.660682470384366
22.46,6.18639341147331e-13,32.05,2.15174657878034e-22,37.99,0.00792676145216873,50.99,16.833077113372042
22.47,8.246764880887146e-12,32.06,7.659335909635934e-21,38.0,0.03139064920161373,51.0,7.777616928171687
22.48,9.934486553984491e-11,32.07,2.4331765912544753e-19,38.01,0.11424215246572005,51.01,3.320259478162468
22.49,1.0814911630561728e-09,32.08,6.898245726688012e-18,38.02,0.3820973515352949,51.02,1.309603844689171
22.5,1.0639378498980821e-08,32.09,1.7453647853794696e-16,38.03,1.1744735711451908,51.03,0.4772547920452214
22.51,9.4585655693577e-08,32.1,3.941089303803618e-15,38.04,3.3176765269971265,51.04,0.16069527022419114
22.52,7.598887828686144e-07,32.11,7.941981303701697e-14,38.05,8.612840457200026,51.05,0.04999174897107883
22.53,5.516841717699474e-06,32.12,1.428314886334835e-12,38.06,20.548509977006642,51.06,0.014369313089901954
22.54,3.6194847357996994e-05,32.13,2.2924590286260605e-11,38.07,45.05425776388842,51.07,0.0038160681715829494
22.55,0.00021459456098158388,32.14,3.2836867491993317e-10,38.08,90.78475249694536,51.08,0.0009363510060935966
22.56,0.0011497579112843645,32.15,4.197632136395914e-09,38.09,168.11697197022414,51.09,0.0002122773603414973
22.57,0.005566854086751625,32.16,4.7888314266510055e-08,38.1,286.1091684104105,51.1,4.446426479585847e-05
22.58,0.024357292138799426,32.17,4.875702975603003e-07,38.11,447.4799302274425,51.11,8.605200486561587e-06
22.59,0.09630834221692444,32.18,4.43024199913596e-06,38.12,643.1864980901757,51.12,1.538697721048227e-06
22.6,0.3441236691891056,32.19,3.592528125262421e-05,38.13,849.6143657279428,51.13,2.5420732939224894e-07
22.61,1.111171049665306,32.2,0.0002599892681738072,38.14,1031.4028944272459,51.14,3.880299660895587e-08
22.62,3.242373386814104,32.21,0.001679164268137433,38.15,1150.6849032965526,51.15,5.472489079814999e-09
22.63,8.54989674127724,32.22,0.009678620566310341,38.16,1179.7936530540478,51.16,7.130943271635623e-10
22.64,20.37391306300607,32.23,0.049787034926298365,38.17,1111.6735338778487,51.17,8.585221402820473e-11
22.65,43.873649656119994,32.24,0.2285607110940841,38.18,962.6536191401007,51.18,9.549891946961999e-12
22.66,85.3785574253522,32.25,0.936417265028424,38.19,766.098126385422,51.19,9.814944677843917e-13
22.67,150.14455861872534,32.26,3.4238896874543268,38.2,560.2996139028338,51.2,9.320081164093346e-14
22.68,238.60861390782048,32.27,11.172558397154583,38.21,376.59783318052826,51.21,8.176999533029453e-15
22.69,342.6718060761998,32.28,32.53628926648238,38.22,232.62526523263864,51.22,6.628430264700143e-16
22.7,444.71969641587265,32.29,84.56018521972938,38.23,132.05581091289335,51.23,4.9644352463388716e-17
22.71,521.5669825937633,32.3,196.1310477668694,38.24,68.8937337381805,51.24,3.435353629350841e-18
22.72,552.7764756248197,32.31,405.98434671091974,38.25,33.03113513753846,51.25,2.196420498611609e-19
22.73,529.4253709968202,32.32,749.9887476128441,38.26,14.55421700490591,51.26,1.2974838694385194e-20
22.74,458.2217314100861,32.33,1236.4675518604927,38.27,5.893533601270238,51.27,7.081591754180526e-22
22.75,358.3953363220003,32.34,1819.2534949750282,38.28,2.1932303781067177,51.28,3.5711019255767044e-23
22.76,253.31724302904664,32.35,2388.8354198842503,38.29,0.7500916172221942,51.29,1.663857180843509e-24
22.77,161.80162952781714,32.36,2799.379381578583,38.3,0.2357577304204385,51.3,7.162626166674225e-26
22.78,93.39352443274164,32.37,2927.654391268733,38.31,0.06809875040465924,51.31,2.8488590632747142e-27
22.79,48.71541133776458,32.38,2732.5012696926933,38.32,0.018077314522496415,51.32,1.0469165961868954e-28
22.8,22.96316351690107,32.39,2276.058685182259,38.33,0.00441011847277996,51.33,3.554640170085569e-30
22.81,9.781665292550304,32.4,1691.955967679166,38.34,0.000988753808511985,51.34,1.1151201011902269e-31
22.82,3.765386950995652,32.41,1122.4762877699125,38.35,0.00020372656042807772,51.35,3.232139409949508e-33
22.83,1.3098518072881753,32.42,664.5808332710403,38.36,3.8577022757270034e-05,51.36,8.655675470904625e-35
22.84,0.41176596764839135,32.43,351.1567058642013,38.37,6.713226994585673e-06,51.37,2.1416785419599486e-36
22.85,0.11697538158012673,32.44,165.5909655737871,38.38,1.0736321993492908e-06,51.38,4.896097367416287e-38
22.86,0.03002992358081117,32.45,69.6874909920134,38.39,1.577979273008614e-07,51.39,1.0341612162916142e-39
22.87,0.0069667418598071545,32.46,26.173122415778746,38.4,2.131418011826141e-08,51.4,2.018221774074066e-41
22.88,0.0014605651906256314,32.47,8.772810777893987,38.41,2.645803212026868e-09,51.41,3.639083060192265e-43
22.89,0.00027671194592100544,32.48,2.6242457683502645,38.42,3.018339018204932e-10,51.42,6.062580094758077e-45
22.9,4.737515089832167e-05,32.49,0.7005719856709959,38.43,3.164463328131212e-11,51.43,9.33180060174651e-47
22.91,7.329747928981903e-06,32.5,0.16691045688861975,38.44,3.0489737624010124e-12,51.44,1.3271372883278756e-48
22.92,1.0248096540652895e-06,32.51,0.035489251750907315,38.45,2.69978312075791e-13,51.45,1.743848262638586e-50
22.93,1.2948310696538866e-07,32.52,0.006734303072079977,38.46,2.196977651560997e-14,51.46,2.1171126859024487e-52
22.94,1.4784231385710094e-08,32.53,0.0011404361889090634,38.47,1.6430242417851706e-15,51.47,2.3747707773469677e-54
22.95,1.5254575458385506e-09,32.54,0.00017235815654940558,38.48,1.129233813321606e-16,51.48,2.461171389131239e-56
22.96,1.422385234788483e-10,32.55,2.3247443913951292e-05,38.49,7.132558584548714e-18,51.49,2.35670085653939e-58
22.97,1.1985332328584096e-11,32.56,2.798343957473949e-06,38.5,4.140267406436681e-19,51.5,2.085016526205648e-60
22.98,9.126382383407005e-13,32.57,3.006142048706294e-07,38.51,2.2086810579505286e-20,51.51,1.7043429311594266e-62
22.99,6.280048201148393e-14,32.58,2.882042759688636e-08,38.52,1.0828272891366954e-21,51.52,1.287202592819493e-64
23.0,3.905197731153586e-15,32.59,2.465890908351919e-09,38.53,4.878731849064463e-23,51.53,8.982128589799398e-67
23.01,2.1945163199166195e-16,32.6,1.8829111040825642e-10,38.54,2.0201158471814728e-24,51.54,5.791006743315708e-69
23.02,1.1144236931849132e-17,32.61,1.2831230055033454e-11,38.55,7.687182174221689e-26,51.55,3.449620445573854e-71
23.03,5.114198659863328e-19,32.62,7.803497300859315e-13,38.56,2.688311821068666e-27,51.56,1.8985891553352884e-73
23.04,2.120901926988676e-20,32.63,4.235384034174152e-14,38.57,8.639998774482028e-29,51.57,9.65457406682674e-76
23.05,7.948392678426668e-22,32.64,2.0515344946691924e-15,38.58,2.5519331337572284e-30,51.58,4.536048417834091e-78
23.06,2.691868112586712e-23,32.65,8.868442813737156e-17,38.59,6.92702047429876e-32,51.59,1.969086000908013e-80
23.07,8.23842090580416e-25,32.66,3.4213573245403223e-18,38.6,1.7280059062933583e-33,51.6,7.897581707252868e-83
23.08,2.2785046042809578e-26,32.67,1.1779639941228007e-19,38.61,3.961553674829217e-35,51.61,2.926617808904979e-85
23.09,5.694709568066011e-28,32.68,3.619496121964249e-21,38.62,8.346558414768418e-37,51.62,1.002029100712272e-87
