110theta,110intensity,200theta,200intensity,211theta,211intensity,220theta,220intensity,310theta,310intensity,222theta,222intensity
19.408,666.666667,27.908,254.166667,34.408,308.333333,40.408,145.833333,45.408,100,49.908,95.833333
19.41,608.333333,27.91,200,34.41,345.833333,40.41,108.333333,45.41,95.833333,49.91,112.5
19.412,479.166667,27.912,237.5,34.412,283.333333,40.412,162.5,45.412,87.5,49.912,120.833333
19.414,545.833333,27.914,254.166667,34.414,333.333333,40.414,120.833333,45.414,75,49.914,145.833333
19.416,604.166667,27.916,266.666667,34.416,304.166667,40.416,137.5,45.416,83.333333,49.916,116.666667
19.418,733.333333,27.918,279.166667,34.418,304.166667,40.418,129.166667,45.418,83.333333,49.918,79.166667
19.42,525,27.92,212.5,34.42,308.333333,40.42,125,45.42,70.833333,49.92,104.166667
19.422,562.5,27.922,304.166667,34.422,275,40.422,129.166667,45.422,54.166667,49.922,137.5
19.424,450,27.924,208.333333,34.424,254.166667,40.424,154.166667,45.424,104.166667,49.924,91.666667
19.426,729.166667,27.926,237.5,34.426,325,40.426,170.833333,45.426,70.833333,49.926,120.833333
19.428,612.5,27.928,179.166667,34.428,287.5,40.428,137.5,45.428,79.166667,49.928,112.5
19.43,545.833333,27.93,233.333333,34.43,304.166667,40.43,170.833333,45.43,100,49.93,104.166667
19.432,512.5,27.932,237.5,34.432,241.666667,40.432,154.166667,45.432,79.166667,49.932,104.166667
19.434,745.833333,27.934,312.5,34.434,316.666667,40.434,141.666667,45.434,133.333333,49.934,79.166667
19.436,616.666667,27.936,283.333333,34.436,304.166667,40.436,195.833333,45.436,87.5,49.936,116.666667
19.438,612.5,27.938,266.666667,34.438,262.5,40.438,187.5,45.438,87.5,49.938,137.5
19.44,500,27.94,275,34.44,308.333333,40.44,150,45.44,150,49.94,116.666667
19.442,658.333333,27.942,245.833333,34.442,316.666667,40.442,166.666667,45.442,91.666667,49.942,100
19.444,612.5,27.944,208.333333,34.444,304.166667,40.444,108.333333,45.444,104.166667,49.944,87.5
19.446,633.333333,27.946,200,34.446,345.833333,40.446,133.333333,45.446,91.666667,49.946,100
19.448,587.5,27.948,254.166667,34.448,337.5,40.448,158.333333,45.448,87.5,49.948,137.5
19.45,695.833333,27.95,250,34.45,287.5,40.45,154.166667,45.45,112.5,49.95,91.666667
19.452,625,27.952,237.5,34.452,337.5,40.452,191.666667,45.452,87.5,49.952,95.833333
19.454,700,27.954,208.333333,34.454,354.166667,40.454,162.5,45.454,75,49.954,100
19.456,641.666667,27.956,208.333333,34.456,329.166667,40.456,170.833333,45.456,79.166667,49.956,179.166667
19.458,579.166667,27.958,250,34.458,337.5,40.458,204.166667,45.458,87.5,49.958,125
19.46,683.333333,27.96,300,34.46,241.666667,40.46,120.833333,45.46,66.666667,49.96,58.333333
