noise,a_ka1,b_ka2,c_ka2,2theta,FWHM,thetas,intensity
,,,,,,19.342,5.262103599264322e-73
,,,,,,19.344,1.250894958561417e-72
,,,,,,19.346,2.9673032571319753e-72
,,,,,,19.348,7.023970314292256e-72
,,,,,,19.35,1.6591400412000727e-71
,,,,,,19.352,3.910777111886663e-71
,,,,,,19.354,9.198621053078133e-71
,,,,,,19.355999999999998,2.1590466904348472e-70
,,,,,,19.358,5.0568606203036745e-70
,,,,,,19.36,1.181896851951673e-69
,,,,,,19.362000000000002,2.7564988221479515e-69
,,,,,,19.364,6.415281083935333e-69
,,,,,,19.366,1.4898865894239839e-68
,,,,,,19.368,3.452791672071224e-68
,,,,,,19.37,7.984857738985607e-68
,,,,,,19.372,1.8426533180385056e-67
,,,,,,19.374000000000002,4.243260817704414e-67
,,,,,,19.375999999999998,9.750692567767585e-67
,,,,,,19.378,2.2358921093264276e-66
,,,,,,19.38,5.116180592544378e-66
,,,,,,19.382,1.1682089565887821e-65
,,,,,,19.384,2.6617964428395475e-65
,,,,,,19.386,6.0521375806972215e-65
,,,,,,19.387999999999998,1.3731639298107456e-64
,,,,,,19.39,3.1089635096723416e-64
,,,,,,19.392,7.024064736618734e-64
,,,,,,19.394000000000002,1.5835837239599147e-63
,,,,,,19.396,3.562650308726609e-63
,,,,,,19.398,7.99806641786516e-63
,,,,,,19.4,1.7917460646977156e-62
,,,,,,19.402,4.005415326539406e-62
,,,,,,19.404,8.93507689415875e-62
,,,,,,19.406,1.9889720324658684e-61
,,,,,,19.408,4.41813214692095e-61
,,,,,,19.41,9.793284466437589e-61
,,,,,,19.412,2.1661956573815675e-60
,,,,,,19.414,4.781307056515486e-60
,,,,,,19.416,1.0531136266627262e-59
,,,,,,19.418,2.314640098948431e-59
,,,,,,19.42,5.076581419527709e-59
,,,,,,19.422,1.1110635041001805e-58
,,,,,,19.424,2.4265321601013028e-58
,,,,,,19.426,5.288260788046915e-58
,,,,,,19.428,1.1500568775283293e-57
,,,,,,19.43,2.4957749301313537e-57
,,,,,,19.432000000000002,5.404694611219614e-57
,,,,,,19.434,1.1679292736832662e-56
,,,,,,19.436,2.5184977753171325e-56
,,,,,,19.438,5.419338046123628e-56
,,,,,,19.44,1.1636719229791654e-55
,,,,,,19.442,2.4934146824060932e-55
,,,,,,19.444000000000003,5.331361263704295e-55
,,,,,,19.445999999999998,1.1375260601754733e-54
,,,,,,19.448,2.4219448002113954e-54
,,,,,,19.45,5.1457273311553073e-54
,,,,,,19.452,1.0909602859614158e-53
,,,,,,19.454,2.3080794602514453e-53
,,,,,,19.456,4.872728502015002e-53
,,,,,,19.458,1.0265339450407787e-52
,,,,,,19.46,2.158013012064165e-52
,,,,,,19.462,4.527041189872717e-52
,,,,,,19.464000000000002,9.476642032288565e-52
