noise,h,x0,ganma,2theta,FWHM,thetas,intensity
,,,,,,18.784000000000002,4.087374589129515
,,,,,,18.785999999999998,4.105857828835395
,,,,,,18.788,4.124466228177495
,,,,,,18.79,4.143200915185097
,,,,,,18.792,4.162063030572301
,,,,,,18.794,4.181053727908543
,,,,,,18.796,4.20017417379234
,,,,,,18.798,4.2194255480273855
,,,,,,18.8,4.23880904380163
,,,,,,18.802,4.258325867868973
,,,,,,18.804000000000002,4.277977240734214
,,,,,,18.805999999999997,4.297764396840372
,,,,,,18.808,4.317688584759729
,,,,,,18.81,4.337751067386986
,,,,,,18.812,4.357953122136425
,,,,,,18.814,4.378296041141477
,,,,,,18.816,4.398781131458064
,,,,,,18.817999999999998,4.419409715270801
,,,,,,18.82,4.440183130102748
,,,,,,18.822,4.461102729028314
,,,,,,18.824,4.48216988089001
,,,,,,18.826,4.503385970518169
