111thetas,111intensity,200thetas,200intensity,220thetas,220intensity,311thetas,311intensity,222thetas,222intensity,400thetas,400intensity
18.66,0.30328415892587485,21.63,0.9162293004172968,31.22,3.8954658241494418,37.16,2.80360004765741,50.16,2.314426475700399,51.92,9.981356738127602
18.67,0.30951117201783,21.64,0.9332346077913322,31.23,3.9640784184401694,37.17,2.8605046684000586,50.17,2.3781944714319234,51.93,10.488332954501187
18.68,0.31593189307661823,21.65,0.9507174997102006,31.24,4.03451901571465,37.18,2.9191580652511395,50.18,2.4446302443342156,51.94,11.03469080049908
18.69,0.32255443811404905,21.66,0.9686960179553196,31.25,4.106853102892062,37.19,2.9796325746167724,50.19,2.5138844486490686,51.95,11.624589160700555
18.7,0.3293873525594161,21.67,0.9871890638635644,31.26,4.181149124474241,37.2,3.0420043088022752,50.2,2.586118506209078,51.96,12.262746663948587
18.71,0.3364396388064849,21.68,1.0062164479106477,31.27,4.257478644213829,37.21,3.1063533948092763,50.21,2.661505541584736,51.97,12.954533840818785
18.72,0.3437207858436592,21.69,1.02579894266164,31.28,4.3359165171818965,37.22,3.172764230923476,50.22,2.7402314131890653,51.98,13.706083320349874
18.73,0.3512408011493616,21.7,1.0459583393522935,31.29,4.416541073006021,37.23,3.2413257626218064,50.23,2.8224958517361034,51.99,14.524422176137831
18.74,0.3590102450525604,21.71,1.0667175083884786,31.3,4.499434311115555,37.24,3.3121317794785954,50.24,2.9085137189938104,52.0,15.41763160389239
18.75,0.36704026777863735,21.72,1.0881004640764795,31.31,4.5846821089004255,37.25,3.3852812349148618,50.25,2.9985164015481245,52.01,16.39504050027036
18.76,0.3753426494229625,21.73,1.1101324339257144,31.32,4.672374443769299,37.26,3.4608785908204736,50.26,3.092753356348939,52.02,17.467461319868715
18.77,0.3839298431195993,21.74,1.1328399328962309,31.33,4.762605630176426,37.27,3.539034189281752,50.27,3.191493827181482,52.03,18.647478955005614
18.78,0.3928150217002429,21.75,1.1562508429983416,31.34,4.855474572781916,37.28,3.6198646538766335,50.28,3.2950287539614838,52.04,19.949806504923913
18.79,0.4020121281694908,21.76,1.1803944986892778,31.35,4.951085037010927,37.29,3.7034933232536034,50.29,3.403672899952352,52.05,21.391725944403145
18.8,0.4115359303573444,21.77,1.205301778554322,31.36,5.049545938392097,37.3,3.7900507199925917,50.3,3.517767225726314,52.06,22.993637237289075
18.81,0.4214020801484749,21.78,1.23100520380604,31.37,5.150971652178359,37.31,3.8796750580647954,50.31,3.6376815430433034,52.07,24.779746885753283
18.82,0.43162717773150777,21.79,1.257539044186797,31.38,5.2554823448902255,37.32,3.9725127925611416,50.32,3.7638174869078966,52.08,26.778936988305826
18.83,0.4422288413602052,21.8,1.2849394319170773,31.39,5.36320432957327,37.33,4.068719215757661,50.33,3.8966118500353883,52.09,29.02586962465311
18.84,0.4532257831735437,21.81,1.3132444843949949,31.4,5.474270446726007,37.34,4.168459104029034,50.34,4.036540330972955,52.1,31.56240024753162
18.85,0.4646378916832379,21.82,1.3424944364232783,31.41,5.5888204730398945,37.35,4.271907420623016,50.35,4.184121755397422,52.11,34.43939980597175
18.86,0.4764863216070945,21.83,1.3727317828176122,31.42,5.707001560293891,37.36,4.37925007987069,50.36,4.339922839890884,52.12,37.71912148494582
18.87,0.4887935918050506,21.84,1.4040014323379266,31.43,5.82896870697221,37.37,4.490684779038205,50.37,4.504563579083864,52.13,41.478298374620145
18.88,0.5015836921635675,21.85,1.4363508739805677,31.44,5.954885265421329,37.38,4.606421904741791,50.38,4.678723350837796,52.14,45.81222889138854
